"","base","term","count","tf","tcount","p_a_given_b","p_a","d_lift","p_b","p_a_and_b","p_a_or_b"
"15","사람","세상",17,111,220,7.72727272727273,1.4792899408284,5.22363636363636,9.29839391377853,0.718512256973795,10.0591715976331
"16","사람","마을",16,68,220,7.27272727272727,2.11327134404057,3.44145454545455,9.29839391377853,0.676246830092984,10.7354184277261
"17","사람","안녕",14,159,220,6.36363636363636,2.87404902789518,2.21417112299465,9.29839391377853,0.591715976331361,11.5807269653424
"18","사람","반대",13,68,220,5.90909090909091,2.11327134404057,2.79618181818182,9.29839391377853,0.549450549450549,10.8622147083686
"19","사람","시간",11,48,220,5,1.60608622147084,3.11315789473684,9.29839391377853,0.464919695688926,10.4395604395604
"20","경찰","주민",98,1010,184,53.2608695652174,9.89010989010989,5.38526570048309,7.77683854606932,4.14201183431953,13.5249366018597
"21","경찰","한전",35,253,184,19.0217391304348,6.55114116652578,2.90357643758766,7.77683854606932,1.4792899408284,12.8486897717667
"22","경찰","충돌",22,100,184,11.9565217391304,1.01437024513948,11.7871376811594,7.77683854606932,0.929839391377853,7.86136939983094
"23","경찰","희망 버스",21,100,184,11.4130434782609,3.00084530853762,3.803276178812,7.77683854606932,0.887573964497042,9.89010989010989
"24","경찰","참가자",15,109,184,8.15217391304348,1.18343195266272,6.88858695652174,7.77683854606932,0.633981403212172,8.32628909551986
"25","경찰","희망 버스 참가자",12,49,184,6.52173913043478,1.01437024513948,6.42934782608696,7.77683854606932,0.507185122569738,8.28402366863905
"26","경찰","어르신",12,87,184,6.52173913043478,1.22569737954353,5.3208395802099,7.77683854606932,0.507185122569738,8.49535080304311
"27","경찰","유족",11,64,184,5.97826086956522,1.01437024513948,5.89356884057971,7.77683854606932,0.464919695688926,8.32628909551986
"28","경찰","분향소",11,59,184,5.97826086956522,1.22569737954353,4.87743628185907,7.77683854606932,0.464919695688926,8.53761622992392
"29","경찰","공사",11,39,184,5.97826086956522,1.52155536770921,3.92904589371981,7.77683854606932,0.464919695688926,8.8334742180896
"30","경찰","정",10,61,184,5.43478260869565,0.887573964497041,6.1231884057971,7.77683854606932,0.422654268808115,8.24175824175824
"31","경찰","대책위",10,53,184,5.43478260869565,1.14116652578191,4.76247987117552,7.77683854606932,0.422654268808115,8.49535080304311
"32","경찰","밀양 희망 버스",10,61,184,5.43478260869565,2.02874049027895,2.67889492753623,7.77683854606932,0.422654268808115,9.38292476754015
"33","한전","주민",62,416,155,40,9.89010989010989,4.04444444444444,6.55114116652578,2.62045646661031,13.8207945900254
"34","한전","경찰",35,258,155,22.5806451612903,7.77683854606932,2.90357643758766,6.55114116652578,1.4792899408284,12.8486897717667
"35","한전","공사",26,110,155,16.7741935483871,1.52155536770921,11.0243727598566,6.55114116652578,1.0989010989011,6.9737954353339
"36","한전","밀양 송전 선로",16,51,155,10.3225806451613,0.718512256973795,14.3666034155598,6.55114116652578,0.676246830092984,6.59340659340659
"37","한전","대화",16,85,155,10.3225806451613,0.929839391377853,11.1014662756598,6.55114116652578,0.676246830092984,6.80473372781065
"38","한전","정부",13,53,155,8.38709677419355,4.09974640743872,2.04575989358164,6.55114116652578,0.549450549450549,10.1014370245139
"39","한전","대책위",12,65,155,7.74193548387097,1.14116652578191,6.784229390681,6.55114116652578,0.507185122569738,7.18512256973795
"40","한전","환경",11,50,155,7.09677419354839,0.803043110735418,8.83735144312394,6.55114116652578,0.464919695688926,6.88926458157227
"41","한전","세대별 지원금",10,31,155,6.45161290322581,0.591715976331361,10.9032258064516,6.55114116652578,0.422654268808115,6.72020287404903
"42","한전","환경부",8,30,155,5.16129032258065,0.380388841927303,13.568458781362,6.55114116652578,0.338123415046492,6.59340659340659
"43","한전","마을",8,38,155,5.16129032258065,2.11327134404057,2.44232258064516,6.55114116652578,0.338123415046492,8.32628909551986
"44","정부","주민",17,104,97,17.5257731958763,9.89010989010989,1.77205040091638,4.09974640743872,0.718512256973795,13.2713440405748
"45","정부","특별 사면",14,73,97,14.4329896907216,3.50803043110735,4.11427151906595,4.09974640743872,0.591715976331361,7.01606086221471
"46","정부","한전",13,75,97,13.4020618556701,6.55114116652578,2.04575989358164,4.09974640743872,0.549450549450549,10.1014370245139
"47","정부","갈등",12,94,97,12.3711340206186,1.43702451394759,8.60885385081868,4.09974640743872,0.507185122569738,5.02958579881657
"48","정부","국민",12,83,97,12.3711340206186,3.42349957734573,3.61359297441772,4.09974640743872,0.507185122569738,7.01606086221471
"49","정부","사면",10,48,97,10.3092783505155,1.43702451394759,7.17404487568223,4.09974640743872,0.422654268808115,5.11411665257819
"50","정부","제외",7,28,97,7.21649484536082,1.52155536770921,4.74284077892325,4.09974640743872,0.29585798816568,5.32544378698225
"51","정부","단행",6,20,97,6.18556701030928,0.464919695688926,13.3045923149016,4.09974640743872,0.253592561284869,4.31107354184277
"52","정부","공사",6,23,97,6.18556701030928,1.52155536770921,4.06529209621993,4.09974640743872,0.253592561284869,5.36770921386306
"53","정부","박근혜 정부",5,16,97,5.15463917525773,0.760777683854607,6.77548682703322,4.09974640743872,0.211327134404057,4.64919695688926
"54","정부","계획",5,18,97,5.15463917525773,0.887573964497041,5.80756013745704,4.09974640743872,0.211327134404057,4.7759932375317
